专业,rowSeq,institutions,Country,wosDocs,cites,citesPerPaper
AGRICULTURAL SCIENCES,17,CGIAR,FRANCE,5262,107193,20.37115165336374002280501710376282782212
AGRICULTURAL SCIENCES,18,HUAZHONG AGRICULTURAL UNIVERSITY,CHINA MAINLAND,4855,97482,20.07868177136972193614830072090628218332
AGRICULTURAL SCIENCES,19,UNIVERSIDADE DE SAO PAULO,BRAZIL,6169,95242,15.43880693791538336845517912141351920895
AGRICULTURAL SCIENCES,20,JIANGSU UNIVERSITY,CHINA MAINLAND,4084,89040,21.80215475024485798237022526934378060725
AGRICULTURAL SCIENCES,21,STATE UNIVERSITY SYSTEM OF FLORIDA,USA,5172,86527,16.72989172467130703789636504253673627224
AGRICULTURAL SCIENCES,22,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),FRANCE,4113,81348,19.77826404084609773887673231218088986142
AGRICULTURAL SCIENCES,23,CORNELL UNIVERSITY,USA,3551,78744,22.17516192621796676992396508025908194875
AGRICULTURAL SCIENCES,24,UNIVERSITY OF CALIFORNIA DAVIS,USA,3908,78346,20.04759467758444216990788126919140225179
AGRICULTURAL SCIENCES,25,UNIVERSITY OF QUEENSLAND,AUSTRALIA,3401,76491,22.49073801822993237283152014113496030579
AGRICULTURAL SCIENCES,26,UNIVERSIDADE ESTADUAL DE CAMPINAS,BRAZIL,3456,74547,21.5703125
AGRICULTURAL SCIENCES,27,NORTHEAST AGRICULTURAL UNIVERSITY - CHINA,CHINA MAINLAND,3889,72600,18.66803805605554127024942144510156852661
AGRICULTURAL SCIENCES,28,UNIVERSITY OF MASSACHUSETTS SYSTEM,USA,2067,72467,35.05902273826802128688921141751330430576
AGRICULTURAL SCIENCES,29,UNIVERSITY OF FLORIDA,USA,4339,71344,16.44249827149112698778520396404701544135
AGRICULTURAL SCIENCES,30,NANCHANG UNIVERSITY,CHINA MAINLAND,2727,71192,26.10634396773010634396773010634396773011
AGRICULTURAL SCIENCES,31,BEIJING TECHNOLOGY & BUSINESS UNIVERSITY,CHINA MAINLAND,3167,70943,22.40069466371960846226712977581307230818
AGRICULTURAL SCIENCES,32,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA (EMBRAPA),BRAZIL,6584,70139,10.65294653705953827460510328068043742406
AGRICULTURAL SCIENCES,33,AGRICULTURE & AGRI FOOD CANADA,CANADA,2878,69358,24.09937456567060458651841556636553161918
AGRICULTURAL SCIENCES,34,UNIVERSITY OF MASSACHUSETTS AMHERST,USA,1890,68947,36.47989417989417989417989417989417989418
AGRICULTURAL SCIENCES,35,COMMONWEALTH SCIENTIFIC & INDUSTRIAL RESEARCH ORGANISATION (CSIRO),AUSTRALIA,2648,68748,25.96223564954682779456193353474320241692
AGRICULTURAL SCIENCES,36,INSTITUT AGRO,FRANCE,3871,68717,17.75174373546887109274089382588478429346
AGRICULTURAL SCIENCES,37,CONSIGLIO NAZIONALE DELLE RICERCHE (CNR),ITALY,3172,67951,21.42213114754098360655737704918032786885
AGRICULTURAL SCIENCES,38,UNIVERSITY OF COPENHAGEN,DENMARK,3094,67924,21.95345830639948287007110536522301228184
AGRICULTURAL SCIENCES,39,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS (CONICET),ARGENTINA,4128,66222,16.04215116279069767441860465116279069767
AGRICULTURAL SCIENCES,40,UNIVERSITY OF GUELPH,CANADA,2767,60087,21.71557643657390675822190097578604987351
AGRICULTURAL SCIENCES,41,GHENT UNIVERSITY,BELGIUM,2700,60061,22.24481481481481481481481481481481481481
AGRICULTURAL SCIENCES,42,SOUTH CHINA AGRICULTURAL UNIVERSITY,CHINA MAINLAND,3776,59314,15.7081567796610169491525423728813559322
AGRICULTURAL SCIENCES,43,MINIST AGR,,2497,57661,23.09211053263916700040048057669203043652
AGRICULTURAL SCIENCES,44,UNIVERSITY SYSTEM OF OHIO,USA,2975,57149,19.20974789915966386554621848739495798319
AGRICULTURAL SCIENCES,45,AARHUS UNIVERSITY,DENMARK,2861,57144,19.97343586158685774204823488290807409997
AGRICULTURAL SCIENCES,46,UNIVERSITY COLLEGE DUBLIN,IRELAND,1934,56373,29.14839710444674250258531540847983453981
AGRICULTURAL SCIENCES,47,TEAGASC,IRELAND,2303,54923,23.84845853234910985670864090316977854972
AGRICULTURAL SCIENCES,48,UNIVERSITY OF NAPLES FEDERICO II,ITALY,2360,54662,23.16186440677966101694915254237288135593
AGRICULTURAL SCIENCES,49,UNIVERSITY OF ILLINOIS SYSTEM,USA,2697,53535,19.84983314794215795328142380422691879867
AGRICULTURAL SCIENCES,50,UNIVERSITY OF MILAN,ITALY,2469,51830,20.99230457675172134467395706763872012961
AGRICULTURAL SCIENCES,51,UK RESEARCH & INNOVATION (UKRI),ENGLAND,1915,51153,26.71174934725848563968668407310704960836
AGRICULTURAL SCIENCES,52,PURDUE UNIVERSITY SYSTEM,USA,2534,50989,20.12194159431728492501973164956590370955
AGRICULTURAL SCIENCES,53,UNIVERSITY OF WESTERN AUSTRALIA,AUSTRALIA,2176,50848,23.36764705882352941176470588235294117647
AGRICULTURAL SCIENCES,54,PURDUE UNIVERSITY,USA,2524,50847,20.14540412044374009508716323296354992076
AGRICULTURAL SCIENCES,55,UNIVERSITY OF AGRICULTURE FAISALABAD,PAKISTAN,3356,49770,14.83015494636471990464839094159713945173
AGRICULTURAL SCIENCES,56,UNIVERSITY OF WISCONSIN SYSTEM,USA,2648,49678,18.76057401812688821752265861027190332326
AGRICULTURAL SCIENCES,57,UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,USA,2412,49414,20.48673300165837479270315091210613598673
AGRICULTURAL SCIENCES,58,UNIVERSITI PUTRA MALAYSIA,MALAYSIA,2777,49026,17.65430320489737126395390709398631616853
AGRICULTURAL SCIENCES,59,SOUTHWEST UNIVERSITY - CHINA,CHINA MAINLAND,2828,48558,17.17043847241867043847241867043847241867
AGRICULTURAL SCIENCES,60,UNIVERSITY OF WISCONSIN MADISON,USA,2469,47679,19.3110571081409477521263669501822600243
AGRICULTURAL SCIENCES,61,YANGZHOU UNIVERSITY,CHINA MAINLAND,3024,47513,15.7119708994708994708994708994708994709
AGRICULTURAL SCIENCES,62,TEXAS A&M UNIVERSITY SYSTEM,USA,2768,47102,17.01661849710982658959537572254335260116
AGRICULTURAL SCIENCES,63,ISLAMIC AZAD UNIVERSITY,IRAN,3362,46759,13.90809042236763831052944675788221296847
AGRICULTURAL SCIENCES,64,UNIVERSIDADE ESTADUAL PAULISTA,BRAZIL,4721,46599,9.87057826731624655793264138953611522982
AGRICULTURAL SCIENCES,65,UNIVERSITE PARIS SACLAY,FRANCE,2084,46513,22.31909788867562380038387715930902111324
AGRICULTURAL SCIENCES,66,UNIVERSITY OF MINNESOTA SYSTEM,USA,2526,46464,18.39429928741092636579572446555819477435
AGRICULTURAL SCIENCES,67,HELMHOLTZ ASSOCIATION,GERMANY (FED REP GER),1899,46399,24.43338599262769878883622959452343338599
AGRICULTURAL SCIENCES,68,MICHIGAN STATE UNIVERSITY,USA,2392,46187,19.30894648829431438127090301003344481605
AGRICULTURAL SCIENCES,69,FUJIAN AGRICULTURE & FORESTRY UNIVERSITY,CHINA MAINLAND,2514,46135,18.35123309466984884645982498011137629276
AGRICULTURAL SCIENCES,70,LEIBNIZ ASSOCIATION,GERMANY (FED REP GER),1962,45579,23.23088685015290519877675840978593272171
AGRICULTURAL SCIENCES,71,CIBER - CENTRO DE INVESTIGACION BIOMEDICA EN RED,SPAIN,1893,45538,24.05599577390385631273111463285789751717
AGRICULTURAL SCIENCES,72,UNIVERSIDADE DO PORTO,PORTUGAL,2029,45520,22.43469689502217841301133563331690487925
AGRICULTURAL SCIENCES,73,UNIVERSITY OF SYDNEY,AUSTRALIA,1999,45402,22.71235617808904452226113056528264132066
AGRICULTURAL SCIENCES,74,UNIVERSITY OF NEBRASKA SYSTEM,USA,2217,45275,20.42174109156517816869643662607126747857
AGRICULTURAL SCIENCES,75,TIANJIN UNIVERSITY SCIENCE & TECHNOLOGY,CHINA MAINLAND,2082,45053,21.63928914505283381364073006724303554275
AGRICULTURAL SCIENCES,76,WASHINGTON STATE UNIVERSITY,USA,2359,44979,19.06697753285290377278507842306061890632
AGRICULTURAL SCIENCES,77,UNIVERSITY OF ALBERTA,CANADA,1856,44128,23.7758620689655172413793103448275862069
AGRICULTURAL SCIENCES,78,BIOTECHNOLOGY AND BIOLOGICAL SCIENCES RESEARCH COUNCIL (BBSRC),ENGLAND,1678,44066,26.26102502979737783075089392133492252682
AGRICULTURAL SCIENCES,79,UNIV BRETAGNE LOIRE,,2138,43884,20.52572497661365762394761459307764265669
AGRICULTURAL SCIENCES,80,UNIVERSITY OF MELBOURNE,AUSTRALIA,2123,43678,20.57371643900141309467734338200659444183
AGRICULTURAL SCIENCES,81,UNIVERSITY HOHENHEIM,GERMANY (FED REP GER),2346,43508,18.5456095481670929241261722080136402387
AGRICULTURAL SCIENCES,82,UNIVERSITY OF MINNESOTA TWIN CITIES,USA,2371,43396,18.30282581189371573175875158161113454239
AGRICULTURAL SCIENCES,83,SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN,SWITZERLAND,1601,43288,27.03810118675827607745159275452841973766
AGRICULTURAL SCIENCES,84,TEXAS A&M UNIVERSITY COLLEGE STATION,USA,2434,43264,17.77485620377978635990139687756778964667
AGRICULTURAL SCIENCES,85,SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES,SWEDEN,2210,43247,19.5687782805429864253393665158371040724
AGRICULTURAL SCIENCES,86,TECHNICAL UNIVERSITY OF MUNICH,GERMANY (FED REP GER),2047,43207,21.107474352711284807034684904738641915
AGRICULTURAL SCIENCES,87,UNIVERSITY OF VALENCIA,SPAIN,1506,43042,28.58034528552456839309428950863213811421
AGRICULTURAL SCIENCES,88,UNIVERSITY OF GOTTINGEN,GERMANY (FED REP GER),1602,42929,26.79712858926342072409488139825218476904
AGRICULTURAL SCIENCES,89,UNIVERSITY SYSTEM OF GEORGIA,USA,2956,42867,14.50169147496617050067658998646820027064
AGRICULTURAL SCIENCES,90,UNIVERSITY OF NEBRASKA LINCOLN,USA,2070,42801,20.67681159420289855072463768115942028986
AGRICULTURAL SCIENCES,91,RUTGERS UNIVERSITY SYSTEM,USA,1751,42554,24.30268418046830382638492290119931467733
AGRICULTURAL SCIENCES,92,SHANGHAI JIAO TONG UNIVERSITY,CHINA MAINLAND,2268,42444,18.71428571428571428571428571428571428571
AGRICULTURAL SCIENCES,93,SHANDONG AGRICULTURAL UNIVERSITY,CHINA MAINLAND,2354,42394,18.00934579439252336448598130841121495327
AGRICULTURAL SCIENCES,94,UNIVERSITE DE MONTPELLIER,FRANCE,2871,42310,14.73702542668059909439219784047370254267
AGRICULTURAL SCIENCES,95,SICHUAN AGRICULTURAL UNIVERSITY,CHINA MAINLAND,2621,42055,16.04540251812285387256772224341854254101
AGRICULTURAL SCIENCES,96,RUTGERS UNIVERSITY NEW BRUNSWICK,USA,1731,42012,24.27036395147313691507798960138648180243
AGRICULTURAL SCIENCES,97,UNIVERSITY OF BOLOGNA,ITALY,2073,41986,20.25373854317414375301495417269657501206
AGRICULTURAL SCIENCES,98,KING SAUD UNIVERSITY,SAUDI ARABIA,3347,41878,12.51210038840752913056468479235135942635
AGRICULTURAL SCIENCES,99,HARVARD UNIVERSITY,USA,1843,41765,22.66142159522517634291915355398806294086
AGRICULTURAL SCIENCES,100,COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH (CSIR) - INDIA,INDIA,2271,41630,18.33113166006164685160722148833113166006
AGRICULTURAL SCIENCES,101,OHIO STATE UNIVERSITY,USA,2185,41505,18.99542334096109839816933638443935926773
AGRICULTURAL SCIENCES,102,IOWA STATE UNIVERSITY,USA,2015,41140,20.41687344913151364764267990074441687345
AGRICULTURAL SCIENCES,103,"NANJING INSTITUTE OF SOIL SCIENCE, CAS",CHINA MAINLAND,1566,40712,25.99744572158365261813537675606641123883
AGRICULTURAL SCIENCES,104,KANSAS STATE UNIVERSITY,USA,2348,40576,17.28109028960817717206132879045996592845
AGRICULTURAL SCIENCES,105,KU LEUVEN,BELGIUM,1795,40480,22.55153203342618384401114206128133704735
AGRICULTURAL SCIENCES,106,CIRAD,FRANCE,2559,40454,15.80851895271590465025400547088706525987
AGRICULTURAL SCIENCES,107,PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE),USA,2124,39780,18.72881355932203389830508474576271186441
AGRICULTURAL SCIENCES,108,UNIVERSIDADE FEDERAL DE VICOSA,BRAZIL,3808,39547,10.38524159663865546218487394957983193277
AGRICULTURAL SCIENCES,109,AGROPARISTECH,FRANCE,1915,39391,20.56971279373368146214099216710182767624
AGRICULTURAL SCIENCES,110,"INSTITUTE OF SOIL & WATER CONSERVATION (ISWC), CAS",CHINA MAINLAND,1582,38399,24.27243994943109987357774968394437420986
AGRICULTURAL SCIENCES,111,NORTH CAROLINA STATE UNIVERSITY,USA,2467,38340,15.54114308877178759627077421970004053506
AGRICULTURAL SCIENCES,112,DALIAN POLYTECHNIC UNIVERSITY,CHINA MAINLAND,2287,37557,16.42195015303891560996939221687800612156
AGRICULTURAL SCIENCES,113,UNIVERSITY OF AUCKLAND,NEW ZEALAND,1415,37487,26.49257950530035335689045936395759717314
AGRICULTURAL SCIENCES,114,ANHUI AGRICULTURAL UNIVERSITY,CHINA MAINLAND,2011,37284,18.54002983590253605171556439582297364495
AGRICULTURAL SCIENCES,115,CONSIGLIO PER LA RICERCA IN AGRICOLTURA E L'ANALISI DELL'ECONOMIA AGRARIA (CREA),ITALY,1980,37268,18.82222222222222222222222222222222222222
AGRICULTURAL SCIENCES,116,UNIVERSITY COLLEGE CORK,IRELAND,1314,36563,27.82572298325722983257229832572298325723
AGRICULTURAL SCIENCES,117,UNIVERSITY OF TEHRAN,IRAN,1882,36115,19.1896918172157279489904357066950053135
AGRICULTURAL SCIENCES,118,UNIVERSITY OF GEORGIA,USA,2615,35998,13.76596558317399617590822179732313575526
AGRICULTURAL SCIENCES,119,UNIVERSITY OF GRANADA,SPAIN,1696,35891,21.16214622641509433962264150943396226415
AGRICULTURAL SCIENCES,120,MCGILL UNIVERSITY,CANADA,1676,35857,21.39439140811455847255369928400954653938
AGRICULTURAL SCIENCES,121,UNIVERSIDADE DE VIGO,SPAIN,1451,35741,24.63197794624396967608545830461750516885
AGRICULTURAL SCIENCES,122,NATIONAL UNIVERSITY OF SINGAPORE,SINGAPORE,1410,35186,24.95460992907801418439716312056737588652
AGRICULTURAL SCIENCES,123,UNIVERSITY OF LONDON,ENGLAND,1765,35038,19.85155807365439093484419263456090651558
AGRICULTURAL SCIENCES,124,SHENYANG AGRICULTURAL UNIVERSITY,CHINA MAINLAND,2223,34782,15.64642375168690958164642375168690958165
AGRICULTURAL SCIENCES,125,US DEPT HLTH HUMAN SERVICES,,1657,34743,20.96741098370549185274592637296318648159
AGRICULTURAL SCIENCES,126,ETH ZURICH,SWITZERLAND,1213,34544,28.47815333882934872217642209398186314922
AGRICULTURAL SCIENCES,127,OCEAN UNIVERSITY OF CHINA,CHINA MAINLAND,1751,34382,19.63563677898343803540833809251856082239
AGRICULTURAL SCIENCES,128,"INSTITUTE OF FOOD SCIENCE & TECHNOLOGY, CAAS",CHINA MAINLAND,1584,33406,21.08964646464646464646464646464646464646
AGRICULTURAL SCIENCES,129,MASSEY UNIVERSITY,NEW ZEALAND,1813,33337,18.38775510204081632653061224489795918367
AGRICULTURAL SCIENCES,130,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM),FRANCE,1579,33211,21.0329322355921469284357188093730208993
AGRICULTURAL SCIENCES,131,NANJING FORESTRY UNIVERSITY,CHINA MAINLAND,2240,32896,14.68571428571428571428571428571428571429
AGRICULTURAL SCIENCES,132,UNIVERSITY OF BELGRADE,SERBIA,1926,32175,16.70560747663551401869158878504672897196
AGRICULTURAL SCIENCES,133,SEOUL NATIONAL UNIVERSITY (SNU),SOUTH KOREA,2129,32057,15.0573038985439173320807891028651949272
AGRICULTURAL SCIENCES,134,PENNSYLVANIA STATE UNIVERSITY,USA,1803,32030,17.76483638380476982806433721575152523572
AGRICULTURAL SCIENCES,135,"INSTITUTE OF GEOGRAPHIC SCIENCES & NATURAL RESOURCES RESEARCH, CAS",CHINA MAINLAND,1394,31999,22.95480631276901004304160688665710186514
AGRICULTURAL SCIENCES,136,"INSTITUTE OF AGRICULTURAL RESOURCES & REGIONAL PLANNING, CAAS",CHINA MAINLAND,1165,31844,27.33390557939914163090128755364806866953
AGRICULTURAL SCIENCES,137,INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT (IRD),FRANCE,1700,31674,18.63176470588235294117647058823529411765
AGRICULTURAL SCIENCES,138,UNIVERSITY OF HELSINKI,FINLAND,1501,31673,21.10126582278481012658227848101265822785
AGRICULTURAL SCIENCES,139,UNIVERSITY OF BRITISH COLUMBIA,CANADA,1310,31442,24.00152671755725190839694656488549618321
AGRICULTURAL SCIENCES,140,UNIVERSITY SYSTEM OF MARYLAND,USA,1354,31409,23.19719350073855243722304283604135893648
AGRICULTURAL SCIENCES,141,MINIST AGR & RURAL AFFAIRS,,2883,31298,10.85605272285813388831078737426292056885
AGRICULTURAL SCIENCES,142,OREGON STATE UNIVERSITY,USA,1669,31118,18.64469742360695026962252846015578190533
AGRICULTURAL SCIENCES,143,INDIAN INSTITUTE OF TECHNOLOGY SYSTEM (IIT SYSTEM),INDIA,1648,30941,18.77487864077669902912621359223300970874
AGRICULTURAL SCIENCES,144,UNIVERSIDADE DE LISBOA,PORTUGAL,1706,30871,18.09554513481828839390386869871043376319
AGRICULTURAL SCIENCES,145,UNIVERSITY OF TURIN,ITALY,1575,30811,19.56253968253968253968253968253968253968
AGRICULTURAL SCIENCES,146,UNIVERSITY OF ADELAIDE,AUSTRALIA,1754,30755,17.53420752565564424173318129988597491448
AGRICULTURAL SCIENCES,147,UNIVERSITY OF PADUA,ITALY,1794,30710,17.11817168338907469342251950947603121516
AGRICULTURAL SCIENCES,148,UNIVERSIDADE FEDERAL DE SANTA MARIA (UFSM),BRAZIL,2673,30663,11.47138047138047138047138047138047138047
AGRICULTURAL SCIENCES,149,PENNSYLVANIA STATE UNIVERSITY - UNIVERSITY PARK,USA,1692,30639,18.10815602836879432624113475177304964539
AGRICULTURAL SCIENCES,150,UNIVERSITY OF BONN,GERMANY (FED REP GER),1532,30592,19.96866840731070496083550913838120104439
AGRICULTURAL SCIENCES,151,COLORADO STATE UNIVERSITY SYSTEM,USA,1324,30511,23.04456193353474320241691842900302114804
AGRICULTURAL SCIENCES,152,COLORADO STATE UNIVERSITY FORT COLLINS,USA,1319,30447,23.08339651250947687642153146322971948446
AGRICULTURAL SCIENCES,153,HEFEI UNIVERSITY OF TECHNOLOGY,CHINA MAINLAND,1299,30417,23.41570438799076212471131639722863741339
AGRICULTURAL SCIENCES,154,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,ITALY,1546,30358,19.63648124191461836998706338939197930142
AGRICULTURAL SCIENCES,155,SUN YAT SEN UNIVERSITY,CHINA MAINLAND,1396,30260,21.67621776504297994269340974212034383954
AGRICULTURAL SCIENCES,156,LANZHOU UNIVERSITY,CHINA MAINLAND,1658,30071,18.13691194209891435464414957780458383595
AGRICULTURAL SCIENCES,157,UNIVERSITAT POLITECNICA DE VALENCIA,SPAIN,1568,29958,19.10586734693877551020408163265306122449
AGRICULTURAL SCIENCES,158,UNIVERSITY OF SASKATCHEWAN,CANADA,1481,29708,20.05941931127616475354490209318028359217
AGRICULTURAL SCIENCES,159,CIBEROBN,SPAIN,1076,29638,27.54460966542750929368029739776951672862
AGRICULTURAL SCIENCES,160,UNIVERSITY OF LEEDS,ENGLAND,996,29529,29.64759036144578313253012048192771084337
AGRICULTURAL SCIENCES,161,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,BRAZIL,2070,29457,14.23043478260869565217391304347826086957
AGRICULTURAL SCIENCES,162,PEKING UNIVERSITY,CHINA MAINLAND,1454,29382,20.20770288858321870701513067400275103164
AGRICULTURAL SCIENCES,163,HAINAN UNIVERSITY,CHINA MAINLAND,1919,29350,15.29442417926003126628452318916102136529
AGRICULTURAL SCIENCES,164,UNIVERSIDADE FEDERAL DE LAVRAS,BRAZIL,2895,29242,10.10086355785837651122625215889464594128
AGRICULTURAL SCIENCES,165,HUNAN AGRICULTURAL UNIVERSITY,CHINA MAINLAND,1918,29158,15.20229405630865484880083420229405630865
AGRICULTURAL SCIENCES,166,UNIVERSITY OF READING,ENGLAND,1110,28971,26.1
AGRICULTURAL SCIENCES,167,CATHOLIC UNIVERSITY OF THE SACRED HEART,ITALY,1079,28769,26.66265060240963855421686746987951807229
AGRICULTURAL SCIENCES,168,ICAR - INDIAN AGRICULTURAL RESEARCH INSTITUTE,INDIA,3165,28420,8.97946287519747235387045813586097946288
AGRICULTURAL SCIENCES,169,UNIVERSITY OF ZAGREB,CROATIA,1395,28312,20.2953405017921146953405017921146953405
AGRICULTURAL SCIENCES,170,WARSAW UNIVERSITY OF LIFE SCIENCES,POLAND,1808,28303,15.65431415929203539823008849557522123894
AGRICULTURAL SCIENCES,171,KING ABDULAZIZ UNIVERSITY,SAUDI ARABIA,1013,28262,27.89930898321816386969397828232971372162
AGRICULTURAL SCIENCES,172,BEIJING FORESTRY UNIVERSITY,CHINA MAINLAND,1821,28024,15.38934651290499725425590334980779791323
AGRICULTURAL SCIENCES,173,UNIVERSITY OF MANITOBA,CANADA,1348,28017,20.78412462908011869436201780415430267062
AGRICULTURAL SCIENCES,174,JILIN UNIVERSITY,CHINA MAINLAND,1861,27942,15.01450832885545405695862439548629768941
AGRICULTURAL SCIENCES,175,JINAN UNIVERSITY,CHINA MAINLAND,1271,27586,21.70416994492525570416994492525570416994
AGRICULTURAL SCIENCES,176,QINGDAO AGRICULTURAL UNIVERSITY,CHINA MAINLAND,1674,27468,16.40860215053763440860215053763440860215
AGRICULTURAL SCIENCES,177,POLISH ACADEMY OF SCIENCES,POLAND,1544,27451,17.77914507772020725388601036269430051813
AGRICULTURAL SCIENCES,178,SICHUAN UNIVERSITY,CHINA MAINLAND,1571,27444,17.46912794398472310630171865054105665181
AGRICULTURAL SCIENCES,179,INTERNATIONAL MAIZE & WHEAT IMPROVEMENT CENTER (CIMMYT),MEXICO,1086,27395,25.22559852670349907918968692449355432781
AGRICULTURAL SCIENCES,180,BEIJING NORMAL UNIVERSITY,CHINA MAINLAND,1076,27285,25.35780669144981412639405204460966542751
AGRICULTURAL SCIENCES,181,JIANGSU ACADEMY OF AGRICULTURAL SCIENCES,CHINA MAINLAND,1661,27206,16.37928958458759783263094521372667068031
AGRICULTURAL SCIENCES,182,INSTITUTO POLITECNICO DE BRAGANCA,PORTUGAL,996,27075,27.18373493975903614457831325301204819277
AGRICULTURAL SCIENCES,183,UNITED STATES DEPARTMENT OF ENERGY (DOE),USA,1014,26848,26.47731755424063116370808678500986193294
AGRICULTURAL SCIENCES,184,UNIVERSITY OF BARCELONA,SPAIN,1296,26779,20.66280864197530864197530864197530864198
AGRICULTURAL SCIENCES,185,DEPARTMENT OF PRIMARY INDUSTRIES & REGIONAL DEVELOPMENT NSW,AUSTRALIA,1452,26557,18.28994490358126721763085399449035812672
AGRICULTURAL SCIENCES,186,KYUNG HEE UNIVERSITY,SOUTH KOREA,1356,26502,19.54424778761061946902654867256637168142
AGRICULTURAL SCIENCES,187,ZHEJIANG GONGSHANG UNIVERSITY,CHINA MAINLAND,1264,26491,20.95806962025316455696202531645569620253
AGRICULTURAL SCIENCES,188,UNIVERSITY OF NOTTINGHAM,ENGLAND,1178,26404,22.41426146010186757215619694397283531409
AGRICULTURAL SCIENCES,189,MONTPELLIER SUPAGRO,FRANCE,1206,26152,21.68490878938640132669983416252072968491
AGRICULTURAL SCIENCES,190,UNIVERSITY OF ARKANSAS SYSTEM,USA,1730,25779,14.90115606936416184971098265895953757225
AGRICULTURAL SCIENCES,191,MONASH UNIVERSITY,AUSTRALIA,1348,25664,19.03857566765578635014836795252225519288
AGRICULTURAL SCIENCES,192,UNIVERSITY OF PARMA,ITALY,1141,25577,22.41630148992112182296231375985977212971
AGRICULTURAL SCIENCES,193,UNIVERSITY OF NORTH CAROLINA,USA,1269,25504,20.09771473601260835303388494877856579984
AGRICULTURAL SCIENCES,194,CSIRO AGRICULTURE & FOOD,AUSTRALIA,1204,25487,21.1686046511627906976744186046511627907
AGRICULTURAL SCIENCES,195,UNIVERSITY OF FLORENCE,ITALY,1166,25256,21.66037735849056603773584905660377358491
AGRICULTURAL SCIENCES,196,INSTITUTO DE SALUD CARLOS III,SPAIN,1056,25213,23.87594696969696969696969696969696969697
AGRICULTURAL SCIENCES,197,UNIVERSIDADE FEDERAL DE SANTA CATARINA (UFSC),BRAZIL,1578,24843,15.74334600760456273764258555133079847909
AGRICULTURAL SCIENCES,198,UNIVERSITY OF MARYLAND COLLEGE PARK,USA,1065,24808,23.29389671361502347417840375586854460094
AGRICULTURAL SCIENCES,199,UNIVERSITE DE TOULOUSE,FRANCE,1181,24670,20.88907705334462320067739204064352243861
AGRICULTURAL SCIENCES,200,BOKU UNIVERSITY,AUSTRIA,1207,24578,20.3628831814415907207953603976801988401
